Record,Correct,Wrong,Percent,week
11-5,11,5,0.6875,1
10-6,10,6,0.625,1
10-6,10,6,0.625,1
10-6,10,6,0.625,1
8-8,8,8,0.5,1
10-6,10,6,0.625,1
10-6,10,6,0.625,1
10-6,10,6,0.625,1
11-5,11,5,0.6875,1
12-4,12,4,0.75,1
12-4,12,4,0.75,1
11-5,11,5,0.6875,2
11-5,11,5,0.6875,2
12-4,12,4,0.75,2
13-3,13,3,0.8125,2
13-3,13,3,0.8125,2
13-3,13,3,0.8125,2
11-5,11,5,0.6875,2
13-3,13,3,0.8125,2
9-7,9,7,0.5625,2
13-3,13,3,0.8125,2
11-5,11,5,0.6875,2
10-6,10,6,0.625,3
11-5,11,5,0.6875,3
13-3,13,3,0.8125,3
10-6,10,6,0.625,3
7-9,7,9,0.4375,3
11-5,11,5,0.6875,3
11-5,11,5,0.6875,3
10-6,10,6,0.625,3
9-7,9,7,0.5625,3
9-7,9,7,0.5625,3
8-8,8,8,0.5,3
10-5,10,5,0.6666666666666666,4
10-5,10,5,0.6666666666666666,4
10-5,10,5,0.6666666666666666,4
8-7,8,7,0.5333333333333333,4
13-2,13,2,0.8666666666666667,4
6-9,6,9,0.4,4
10-5,10,5,0.6666666666666666,4
9-6,9,6,0.6,4
11-4,11,4,0.7333333333333333,4
9-6,9,6,0.6,4
9-6,9,6,0.6,4
4-10,4,10,0.2857142857142857,5
5-9,5,9,0.35714285714285715,5
5-9,5,9,0.35714285714285715,5
9-5,9,5,0.6428571428571429,5
5-9,5,9,0.35714285714285715,5
7-7,7,7,0.5,5
4-10,4,10,0.2857142857142857,5
5-9,5,9,0.35714285714285715,5
5-9,5,9,0.35714285714285715,5
5-9,5,9,0.35714285714285715,5
6-8,6,8,0.42857142857142855,5
8-7,8,7,0.5333333333333333,6
11-4,11,4,0.7333333333333333,6
9-6,9,6,0.6,6
11-4,11,4,0.7333333333333333,6
7-8,7,8,0.4666666666666667,6
7-8,7,8,0.4666666666666667,6
10-5,10,5,0.6666666666666666,6
9-6,9,6,0.6,6
12-3,12,3,0.8,6
10-5,10,5,0.6666666666666666,6
10-5,10,5,0.6666666666666666,6
12-3,12,3,0.8,7
12-3,12,3,0.8,7
10-5,10,5,0.6666666666666666,7
13-2,13,2,0.8666666666666667,7
10-5,10,5,0.6666666666666666,7
10-5,10,5,0.6666666666666666,7
12-3,12,3,0.8,7
11-4,11,4,0.7333333333333333,7
13-2,13,2,0.8666666666666667,7
13-2,13,2,0.8666666666666667,7
8-7,8,7,0.5333333333333333,7
9-4,9,4,0.6923076923076923,8
8-5,8,5,0.6153846153846154,8
10-3,10,3,0.7692307692307693,8
6-7,6,7,0.46153846153846156,8
9-4,9,4,0.6923076923076923,8
6-7,6,7,0.46153846153846156,8
9-4,9,4,0.6923076923076923,8
9-4,9,4,0.6923076923076923,8
9-4,9,4,0.6923076923076923,8
8-5,8,5,0.6153846153846154,8
11-2,11,2,0.8461538461538461,8
9-5,9,5,0.6428571428571429,9
8-6,8,6,0.5714285714285714,9
8-6,8,6,0.5714285714285714,9
8-6,8,6,0.5714285714285714,9
8-6,8,6,0.5714285714285714,9
9-5,9,5,0.6428571428571429,9
8-6,8,6,0.5714285714285714,9
8-6,8,6,0.5714285714285714,9
8-6,8,6,0.5714285714285714,9
9-5,9,5,0.6428571428571429,9
6-8,6,8,0.42857142857142855,9
9-5,9,5,0.6428571428571429,10
9-5,9,5,0.6428571428571429,10
12-2,12,2,0.8571428571428571,10
8-6,8,6,0.5714285714285714,10
6-8,6,8,0.42857142857142855,10
9-5,9,5,0.6428571428571429,10
8-6,8,6,0.5714285714285714,10
10-4,10,4,0.7142857142857143,10
10-4,10,4,0.7142857142857143,10
8-6,8,6,0.5714285714285714,10
8-6,8,6,0.5714285714285714,10
9-6,9,6,0.6,11
10-5,10,5,0.6666666666666666,11
12-3,12,3,0.8,11
8-7,8,7,0.5333333333333333,11
8-7,8,7,0.5333333333333333,11
9-6,9,6,0.6,11
10-5,10,5,0.6666666666666666,11
10-5,10,5,0.6666666666666666,11
10-5,10,5,0.6666666666666666,11
10-5,10,5,0.6666666666666666,11
12-3,12,3,0.8,11
9-4,9,4,0.6923076923076923,12
10-4,10,4,0.7142857142857143,12
10-4,10,4,0.7142857142857143,12
11-3,11,3,0.7857142857142857,12
9-5,9,5,0.6428571428571429,12
10-4,10,4,0.7142857142857143,12
11-3,11,3,0.7857142857142857,12
10-4,10,4,0.7142857142857143,12
12-2,12,2,0.8571428571428571,12
12-2,12,2,0.8571428571428571,12
10-4,10,4,0.7142857142857143,12
