Correct,Wrong,Tie,Percent,week
13,3,0,0.8125,1
10,6,0,0.625,1
9,7,0,0.5625,1
11,5,0,0.6875,1
11,5,0,0.6875,1
9,7,0,0.5625,1
12,4,0,0.75,1
13,3,0,0.8125,1
11,5,0,0.6875,2
11,5,0,0.6875,2
13,3,0,0.8125,2
13,3,0,0.8125,2
15,1,0,0.9375,2
13,3,0,0.8125,2
10,6,0,0.625,2
13,3,0,0.8125,2
13,3,0,0.8125,3
10,6,0,0.625,3
10,6,0,0.625,3
11,5,0,0.6875,3
11,5,0,0.6875,3
10,6,0,0.625,3
11,5,0,0.6875,3
11,5,0,0.6875,3
12,3,1,0.75,4
10,5,1,0.625,4
9,6,1,0.5625,4
11,4,1,0.6875,4
8,7,1,0.5,4
9,6,1,0.5625,4
9,6,1,0.5625,4
9,6,1,0.5625,4
8,6,0,0.5714285714285714,5
6,8,0,0.42857142857142855,5
5,9,0,0.35714285714285715,5
6,8,0,0.42857142857142855,5
3,11,0,0.21428571428571427,5
6,8,0,0.42857142857142855,5
5,9,0,0.35714285714285715,5
4,10,0,0.2857142857142857,5
9,6,0,0.6,6
9,6,0,0.6,6
9,6,0,0.6,6
10,5,0,0.6666666666666666,6
9,6,0,0.6,6
10,5,0,0.6666666666666666,6
10,5,0,0.6666666666666666,6
11,4,0,0.7333333333333333,6
10,5,0,0.6666666666666666,7
12,3,0,0.8,7
11,4,0,0.7333333333333333,7
13,2,0,0.8666666666666667,7
13,2,0,0.8666666666666667,7
10,5,0,0.6666666666666666,7
12,3,0,0.8,7
12,3,0,0.8,7
10,3,0,0.7692307692307693,8
8,5,0,0.6153846153846154,8
10,3,0,0.7692307692307693,8
9,4,0,0.6923076923076923,8
8,5,0,0.6153846153846154,8
7,6,0,0.5384615384615384,8
8,5,0,0.6153846153846154,8
9,4,0,0.6923076923076923,8
6,8,0,0.42857142857142855,9
8,6,0,0.5714285714285714,9
8,6,0,0.5714285714285714,9
10,4,0,0.7142857142857143,9
8,6,0,0.5714285714285714,9
9,5,0,0.6428571428571429,9
9,5,0,0.6428571428571429,9
8,6,0,0.5714285714285714,9
8,6,0,0.5714285714285714,10
9,5,0,0.6428571428571429,10
9,5,0,0.6428571428571429,10
8,6,0,0.5714285714285714,10
8,6,0,0.5714285714285714,10
11,3,0,0.7857142857142857,10
8,6,0,0.5714285714285714,10
10,4,0,0.7142857142857143,10
10,5,0,0.6666666666666666,11
13,2,0,0.8666666666666667,11
11,4,0,0.7333333333333333,11
10,5,0,0.6666666666666666,11
9,6,0,0.6,11
8,7,0,0.5333333333333333,11
12,3,0,0.8,11
11,4,0,0.7333333333333333,11
12,2,0,0.8571428571428571,12
11,3,0,0.7857142857142857,12
10,4,0,0.7142857142857143,12
11,3,0,0.7857142857142857,12
10,4,0,0.7142857142857143,12
9,5,0,0.6428571428571429,12
10,4,0,0.7142857142857143,12
10,4,0,0.7142857142857143,12
11,5,0,0.6875,13
10,6,0,0.625,13
9,7,0,0.5625,13
9,7,0,0.5625,13
11,5,0,0.6875,13
9,7,0,0.5625,13
10,6,0,0.625,13
10,6,0,0.625,13
7,7,0,0.5,14
8,6,0,0.5714285714285714,14
5,9,0,0.35714285714285715,14
7,7,0,0.5,14
8,6,0,0.5714285714285714,14
9,5,0,0.6428571428571429,14
7,7,0,0.5,14
11,5,0,0.6875,15
9,7,0,0.5625,15
9,7,0,0.5625,15
9,7,0,0.5625,15
10,6,0,0.625,15
10,6,0,0.625,15
9,7,0,0.5625,15
8,8,0,0.5,16
8,8,0,0.5,16
10,6,0,0.625,16
7,9,0,0.4375,16
12,4,0,0.75,16
11,5,0,0.6875,16
10,6,0,0.625,16
8,8,0,0.5,17
8,8,0,0.5,17
9,7,0,0.5625,17
9,7,0,0.5625,17
9,7,0,0.5625,17
10,6,0,0.625,17
8,8,0,0.5,17
9,7,0,0.5625,18
8,8,0,0.5,18
7,9,0,0.4375,18
9,7,0,0.5625,18
8,8,0,0.5,18
9,7,0,0.5625,18
8,8,0,0.5,18
2,4,0,0.3333333333333333,19
4,2,0,0.6666666666666666,19
3,3,0,0.5,19
3,3,0,0.5,19
4,2,0,0.6666666666666666,19
4,2,0,0.6666666666666666,19
4,2,0,0.6666666666666666,19
3,1,0,0.75,20
3,1,0,0.75,20
4,0,0,1,20
2,2,0,0.5,20
4,0,0,1,20
2,2,0,0.5,20
3,1,0,0.75,20
1,1,0,0.5,21
1,1,0,0.5,21
2,0,0,1,21
1,1,0,0.5,21
2,0,0,1,21
2,0,0,1,21
1,1,0,0.5,21
